{'time': 1622619142.0268846, 'processing_delay': 4.478643417358398, 'bandwidth': 3059.1458087602637}
{'time': 1622619146.82319, 'processing_delay': 4.433363914489746, 'bandwidth': 3287.14254138234}
{'time': 1622619151.57771, 'processing_delay': 4.626681804656982, 'bandwidth': 3249.086387775172}
{'time': 1622619156.5175257, 'processing_delay': 4.392392873764038, 'bandwidth': 3562.916267926707}
{'time': 1622619161.2310202, 'processing_delay': 4.482251405715942, 'bandwidth': 3507.745107903798}
{'time': 1622619166.0226405, 'processing_delay': 4.577008962631226, 'bandwidth': 2803.5254166481723}
{'time': 1622619170.9307914, 'processing_delay': 4.493653059005737, 'bandwidth': 3290.9306746191073}
{'time': 1622619175.7463706, 'processing_delay': 4.493567705154419, 'bandwidth': 3098.7683445596904}
{'time': 1622619180.5542822, 'processing_delay': 4.468142747879028, 'bandwidth': 3170.39141603529}
{'time': 1622619185.335842, 'processing_delay': 4.420015811920166, 'bandwidth': 3433.6554326518735}
{'time': 1622619190.064524, 'processing_delay': 4.4945900440216064, 'bandwidth': 3324.6795247723408}
{'time': 1622619194.8745222, 'processing_delay': 4.533252477645874, 'bandwidth': 3257.267132824705}
{'time': 1622619199.7216332, 'processing_delay': 4.50921106338501, 'bandwidth': 3560.6359750496586}
{'time': 1622619204.544961, 'processing_delay': 4.451867580413818, 'bandwidth': 3422.9283721879174}
{'time': 1622619209.3128002, 'processing_delay': 4.476811647415161, 'bandwidth': 3129.192783057496}
{'time': 1622619214.1107316, 'processing_delay': 4.378148078918457, 'bandwidth': 3468.7073341711057}
{'time': 1622619218.802883, 'processing_delay': 4.473704099655151, 'bandwidth': 3320.895508908882}
{'time': 1622619223.5899122, 'processing_delay': 4.47551965713501, 'bandwidth': 3469.054742827604}
{'time': 1622619228.3753579, 'processing_delay': 4.4908552169799805, 'bandwidth': 3459.3869677980574}
{'time': 1622619233.1803594, 'processing_delay': 4.376533508300781, 'bandwidth': 3375.4426979855643}
{'time': 1622619237.8651247, 'processing_delay': 4.545370101928711, 'bandwidth': 2947.014604129557}
{'time': 1622619242.7578254, 'processing_delay': 4.466764688491821, 'bandwidth': 3208.896890148051}
{'time': 1622619247.5428445, 'processing_delay': 4.507770538330078, 'bandwidth': 3291.102152910598}
{'time': 1622619252.4062252, 'processing_delay': 4.506735324859619, 'bandwidth': 2788.143190257329}
{'time': 1622619257.22601, 'processing_delay': 4.483588933944702, 'bandwidth': 3509.0748848001567}
{'time': 1622619262.047749, 'processing_delay': 4.451257944107056, 'bandwidth': 3440.311381389656}
{'time': 1622619266.8201516, 'processing_delay': 4.360215187072754, 'bandwidth': 3135.406267064186}
{'time': 1622619271.4932008, 'processing_delay': 4.525697708129883, 'bandwidth': 3327.677887625128}
{'time': 1622619276.341426, 'processing_delay': 4.483591079711914, 'bandwidth': 3250.8570338636673}
{'time': 1622619281.1402225, 'processing_delay': 4.406105995178223, 'bandwidth': 3325.678378512315}
{'time': 1622619285.8661494, 'processing_delay': 4.4481189250946045, 'bandwidth': 3537.374808099044}
