('total_service_delay', 'net_speed', 'cpu_usage', 'memory_usage')
(0.5766324996948242, 128376.59301769489, 27.8, 49.9)
(0.5767347812652588, 128284.56678614097, 27.9, 49.9)
(0.5725516080856323, 64172.95147023667, 29.9, 49.9)
(0.5723817348480225, 64211.32783159909, 28.8, 49.9)
(0.5749630928039551, 64172.95147023667, 27.7, 49.9)
(0.5909192562103271, 128284.56678614097, 28.6, 50.0)
(0.5598751306533813, 128315.2275334608, 27.3, 49.9)
(0.5763888359069824, 64165.28170192423, 28.7, 49.9)
(0.5699349641799927, 132331.99704214936, 29.1, 49.9)
(0.5674858093261719, 64188.296508847445, 27.8, 49.9)
(0.5623018741607666, 64149.947663998086, 28.5, 49.9)
(0.5928558111190796, 64165.28170192423, 40.2, 50.3)
(0.5926730632781982, 128499.50023934897, 28.0, 50.2)
(0.5602051019668579, 128253.92068800764, 29.6, 50.2)
(0.5672330856323242, 128162.07018381475, 28.7, 50.2)
(0.5770746469497681, 64165.28170192423, 27.9, 50.2)
(0.5782287120819092, 64226.691231008495, 28.3, 50.2)
(0.574825644493103, 128223.28922856461, 29.2, 50.2)
(0.5667885541915894, 128345.90294047334, 27.4, 50.2)
(0.5654397010803223, 128345.90294047334, 28.6, 50.2)
(0.5757237672805786, 64172.95147023667, 28.3, 50.2)
(0.5651898384094238, 126650.36848313281, 28.4, 50.2)
(0.5792349576950073, 128438.01722488039, 28.7, 50.2)
(0.5548015832901001, 128407.29777565176, 28.3, 50.2)
(0.5874292850494385, 64157.6137667304, 28.4, 50.2)
(0.566859245300293, 128315.2275334608, 27.8, 50.2)
(0.5770624876022339, 128315.2275334608, 29.3, 50.3)
(0.5684797763824463, 128345.90294047334, 27.8, 50.2)
(0.5784207582473755, 128315.2275334608, 27.6, 50.2)
(0.5600039958953857, 64195.97178046156, 28.0, 50.2)
(0.5781482458114624, 64126.96034400382, 28.4, 50.2)
(0.5659224987030029, 128345.90294047334, 27.8, 50.2)
(0.5828218460083008, 132039.0831283817, 27.3, 50.2)
(0.5828126668930054, 128407.29777565176, 28.0, 50.2)
(0.5681313276290894, 65051.60693081304, 28.6, 50.2)
(0.5657429695129395, 64142.28339307049, 28.0, 50.2)
(0.58149254322052, 128376.59301769489, 28.7, 50.2)
(0.5742413997650146, 64134.62095329112, 26.4, 50.2)
(0.5707746744155884, 128131.48257756564, 29.0, 50.2)
